"","plotID","ID","typeSample","typeCode","timeSample","DiseaseStatus","manager.x","variety.x","DNA_Location","DNA_Plate","DNA_Row","DNA_Col","site","manager.y","managerPlotName","FHBresistance","block","variety.y","lat","long","harvestWeight.lbs","moistPerc","testWeight.lbsPerBu","yield.lbsPerAcre","harvestLength","FHBSeverity","FgTa.Mean","FgTa.SD","FgTa.CV","DON.Mean.R1","DON.CV.R1","DON.Mean.R2","DON.CV.R2"
"L06-T2","06","L06-T2","leaf","L","T2","","Allen","505","P2-E1","P2","E","1","Urbana","Allen",NA,"9","2","AgriMaxx-505",40.0807,-88.2242,62.51,14.8,53.8,89.66943726,99.7,47.4,0.206,0.021,9.993,0.926120698,8.721715354,1.434116006,2.252832197
"H06-T4","06","H06-T4","head","H","T4","","Allen","505","P2-E10","P2","E","10","Urbana","Allen",NA,"9","2","AgriMaxx-505",40.0807,-88.2242,62.51,14.8,53.8,89.66943726,99.7,47.4,0.206,0.021,9.993,0.926120698,8.721715354,1.434116006,2.252832197
"H06-T5-HI","06","H06-T5-HI","head","H","T5","Hi","Allen","505","P3-B5","P3","B","5","Urbana","Allen",NA,"9","2","AgriMaxx-505",40.0807,-88.2242,62.51,14.8,53.8,89.66943726,99.7,47.4,0.206,0.021,9.993,0.926120698,8.721715354,1.434116006,2.252832197
"D07-T2","07","D07-T2","debris","D","T2","","Allen","505","P2-C8","P2","C","8","Urbana","Allen",NA,"9","3","AgriMaxx-505",40.080617,-88.224217,60.64,14.6,53.8,87.19115163,99.7,38,0.344,0.089,25.891,1.210931578,32.9147504,1.343635711,5.062116996
"L07-T1","07","L07-T1","leaf","L","T1","","Allen","505","P1-D12","P1","D","12","Urbana","Allen",NA,"9","3","AgriMaxx-505",40.080617,-88.224217,60.64,14.6,53.8,87.19115163,99.7,38,0.344,0.089,25.891,1.210931578,32.9147504,1.343635711,5.062116996
"H07-T3","07","H07-T3","head","H","T3","","Allen","505","P1-E2","P1","E","2","Urbana","Allen",NA,"9","3","AgriMaxx-505",40.080617,-88.224217,60.64,14.6,53.8,87.19115163,99.7,38,0.344,0.089,25.891,1.210931578,32.9147504,1.343635711,5.062116996
"D07-T1","07","D07-T1","debris","D","T1","","Allen","505","P1-E10","P1","E","10","Urbana","Allen",NA,"9","3","AgriMaxx-505",40.080617,-88.224217,60.64,14.6,53.8,87.19115163,99.7,38,0.344,0.089,25.891,1.210931578,32.9147504,1.343635711,5.062116996
"L07-T2","07","L07-T2","leaf","L","T2","","Allen","505","P3-D5","P3","D","5","Urbana","Allen",NA,"9","3","AgriMaxx-505",40.080617,-88.224217,60.64,14.6,53.8,87.19115163,99.7,38,0.344,0.089,25.891,1.210931578,32.9147504,1.343635711,5.062116996
"H07-T4","07","H07-T4","head","H","T4","","Allen","505","P1-B11","P1","B","11","Urbana","Allen",NA,"9","3","AgriMaxx-505",40.080617,-88.224217,60.64,14.6,53.8,87.19115163,99.7,38,0.344,0.089,25.891,1.210931578,32.9147504,1.343635711,5.062116996
"L07-T4","07","L07-T4","leaf","L","T4","","Allen","505","P1-F7","P1","F","7","Urbana","Allen",NA,"9","3","AgriMaxx-505",40.080617,-88.224217,60.64,14.6,53.8,87.19115163,99.7,38,0.344,0.089,25.891,1.210931578,32.9147504,1.343635711,5.062116996
"L07-T3","07","L07-T3","leaf","L","T3","","Allen","505","P1-A6","P1","A","6","Urbana","Allen",NA,"9","3","AgriMaxx-505",40.080617,-88.224217,60.64,14.6,53.8,87.19115163,99.7,38,0.344,0.089,25.891,1.210931578,32.9147504,1.343635711,5.062116996
"H07-T5-HI","07","H07-T5-HI","head","H","T5","Hi","Allen","505","P1-B12","P1","B","12","Urbana","Allen",NA,"9","3","AgriMaxx-505",40.080617,-88.224217,60.64,14.6,53.8,87.19115163,99.7,38,0.344,0.089,25.891,1.210931578,32.9147504,1.343635711,5.062116996
"H07-T5-LO","07","H07-T5-LO","head","H","T5","Lo","Allen","505","P1-G2","P1","G","2","Urbana","Allen",NA,"9","3","AgriMaxx-505",40.080617,-88.224217,60.64,14.6,53.8,87.19115163,99.7,38,0.344,0.089,25.891,1.210931578,32.9147504,1.343635711,5.062116996
"L08-T4","08","L08-T4","leaf","L","T4","","Allen","492","P1-F5","P1","F","5","Urbana","Allen",NA,"5","3","AgriMaxx-492",40.08055,-88.2242,63.64,16.6,54.8,89.09364569,100,27.4125,0.271,0.069,25.645,0.611190664,35.64928381,1.017065872,56.04155855
"L08-T1","08","L08-T1","leaf","L","T1","","Allen","492","P2-G1","P2","G","1","Urbana","Allen",NA,"5","3","AgriMaxx-492",40.08055,-88.2242,63.64,16.6,54.8,89.09364569,100,27.4125,0.271,0.069,25.645,0.611190664,35.64928381,1.017065872,56.04155855
"D08-T2","08","D08-T2","debris","D","T2","","Allen","492","P2-H5","P2","H","5","Urbana","Allen",NA,"5","3","AgriMaxx-492",40.08055,-88.2242,63.64,16.6,54.8,89.09364569,100,27.4125,0.271,0.069,25.645,0.611190664,35.64928381,1.017065872,56.04155855
"L08-T2","08","L08-T2","leaf","L","T2","","Allen","492","P2-H8","P2","H","8","Urbana","Allen",NA,"5","3","AgriMaxx-492",40.08055,-88.2242,63.64,16.6,54.8,89.09364569,100,27.4125,0.271,0.069,25.645,0.611190664,35.64928381,1.017065872,56.04155855
"H08-T4","08","H08-T4","head","H","T4","","Allen","492","P3-B1","P3","B","1","Urbana","Allen",NA,"5","3","AgriMaxx-492",40.08055,-88.2242,63.64,16.6,54.8,89.09364569,100,27.4125,0.271,0.069,25.645,0.611190664,35.64928381,1.017065872,56.04155855
"H08-T5-LO","08","H08-T5-LO","head","H","T5","Lo","Allen","492","P3-C4","P3","C","4","Urbana","Allen",NA,"5","3","AgriMaxx-492",40.08055,-88.2242,63.64,16.6,54.8,89.09364569,100,27.4125,0.271,0.069,25.645,0.611190664,35.64928381,1.017065872,56.04155855
"H08-T3","08","H08-T3","head","H","T3","","Allen","492","P2-C11","P2","C","11","Urbana","Allen",NA,"5","3","AgriMaxx-492",40.08055,-88.2242,63.64,16.6,54.8,89.09364569,100,27.4125,0.271,0.069,25.645,0.611190664,35.64928381,1.017065872,56.04155855
"D08-T1","08","D08-T1","debris","D","T1","","Allen","492","P3-F6","P3","F","6","Urbana","Allen",NA,"5","3","AgriMaxx-492",40.08055,-88.2242,63.64,16.6,54.8,89.09364569,100,27.4125,0.271,0.069,25.645,0.611190664,35.64928381,1.017065872,56.04155855
"H08-T5-HI","08","H08-T5-HI","head","H","T5","Hi","Allen","492","P3-A7","P3","A","7","Urbana","Allen",NA,"5","3","AgriMaxx-492",40.08055,-88.2242,63.64,16.6,54.8,89.09364569,100,27.4125,0.271,0.069,25.645,0.611190664,35.64928381,1.017065872,56.04155855
"L08-T3","08","L08-T3","leaf","L","T3","","Allen","492","P3-B3","P3","B","3","Urbana","Allen",NA,"5","3","AgriMaxx-492",40.08055,-88.2242,63.64,16.6,54.8,89.09364569,100,27.4125,0.271,0.069,25.645,0.611190664,35.64928381,1.017065872,56.04155855
"L09-T2","09","L09-T2","leaf","L","T2","","Allen","495","P2-B3","P2","B","3","Urbana","Allen",NA,"8","3","AgriMaxx-495",40.080467,-88.224217,63.69,14.6,53.6,91.02877439,100.3,31.2375,0.343,0.159,46.288,1.839521442,2.785656983,1.454009585,7.088071508
"H09-T4","09","H09-T4","head","H","T4","","Allen","495","P3-B2","P3","B","2","Urbana","Allen",NA,"8","3","AgriMaxx-495",40.080467,-88.224217,63.69,14.6,53.6,91.02877439,100.3,31.2375,0.343,0.159,46.288,1.839521442,2.785656983,1.454009585,7.088071508
"L09-T4","09","L09-T4","leaf","L","T4","","Allen","495","P2-C3","P2","C","3","Urbana","Allen",NA,"8","3","AgriMaxx-495",40.080467,-88.224217,63.69,14.6,53.6,91.02877439,100.3,31.2375,0.343,0.159,46.288,1.839521442,2.785656983,1.454009585,7.088071508
"H09-T5-HI","09","H09-T5-HI","head","H","T5","Hi","Allen","495","P2-A10","P2","A","10","Urbana","Allen",NA,"8","3","AgriMaxx-495",40.080467,-88.224217,63.69,14.6,53.6,91.02877439,100.3,31.2375,0.343,0.159,46.288,1.839521442,2.785656983,1.454009585,7.088071508
"D09-T1","09","D09-T1","debris","D","T1","","Allen","495","P2-F6","P2","F","6","Urbana","Allen",NA,"8","3","AgriMaxx-495",40.080467,-88.224217,63.69,14.6,53.6,91.02877439,100.3,31.2375,0.343,0.159,46.288,1.839521442,2.785656983,1.454009585,7.088071508
"L09-T3","09","L09-T3","leaf","L","T3","","Allen","495","P3-C3","P3","C","3","Urbana","Allen",NA,"8","3","AgriMaxx-495",40.080467,-88.224217,63.69,14.6,53.6,91.02877439,100.3,31.2375,0.343,0.159,46.288,1.839521442,2.785656983,1.454009585,7.088071508
"L09-T1","09","L09-T1","leaf","L","T1","","Allen","495","P1-B3","P1","B","3","Urbana","Allen",NA,"8","3","AgriMaxx-495",40.080467,-88.224217,63.69,14.6,53.6,91.02877439,100.3,31.2375,0.343,0.159,46.288,1.839521442,2.785656983,1.454009585,7.088071508
"D09-T2","09","D09-T2","debris","D","T2","","Allen","495","P1-A12","P1","A","12","Urbana","Allen",NA,"8","3","AgriMaxx-495",40.080467,-88.224217,63.69,14.6,53.6,91.02877439,100.3,31.2375,0.343,0.159,46.288,1.839521442,2.785656983,1.454009585,7.088071508
"H09-T5-LO","09","H09-T5-LO","head","H","T5","Lo","Allen","495","P1-D1","P1","D","1","Urbana","Allen",NA,"8","3","AgriMaxx-495",40.080467,-88.224217,63.69,14.6,53.6,91.02877439,100.3,31.2375,0.343,0.159,46.288,1.839521442,2.785656983,1.454009585,7.088071508
