,plotID,ID,timeDisSite,typeSample,typeCode,timeSample,DiseaseStatus,variety.x,site,block,lat,long,moistPerc,testWeight.lbsPerBu,yield.lbsPerAcre,FgTa.Mean,DON.Mean.R1,fungiDepth,Sdiv
119,18,H18-T5-HI,T5_Hi_Ewing,head,H,T5,Hi,505,Ewing,2,38.096467,-88.84535,14.8,52.6,74.79666733,0.077,0.213030026,29055,55
120,18,H18-T5-LO,T5_Lo_Ewing,head,H,T5,Lo,505,Ewing,2,38.096467,-88.84535,14.8,52.6,74.79666733,0.077,0.213030026,233223,163
121,19,H19-T3,T3_Ewing,head,H,T3,,505,Ewing,3,38.096467,-88.845283,13.2,56.8,69.50228423,0.451,3.198746795,39747,136
122,19,H19-T4,T4_Ewing,head,H,T4,,505,Ewing,3,38.096467,-88.845283,13.2,56.8,69.50228423,0.451,3.198746795,19465,119
123,19,H19-T5-HI,T5_Hi_Ewing,head,H,T5,Hi,505,Ewing,3,38.096467,-88.845283,13.2,56.8,69.50228423,0.451,3.198746795,41055,79
124,19,H19-T5-LO,T5_Lo_Ewing,head,H,T5,Lo,505,Ewing,3,38.096467,-88.845283,13.2,56.8,69.50228423,0.451,3.198746795,62179,95
125,20,H20-T3,T3_Ewing,head,H,T3,,495,Ewing,3,38.096467,-88.845217,12.5,58.7,75.12756627,0.487,1.901601105,24443,145
126,20,H20-T4,T4_Ewing,head,H,T4,,495,Ewing,3,38.096467,-88.845217,12.5,58.7,75.12756627,0.487,1.901601105,7751,86
127,20,H20-T5-HI,T5_Hi_Ewing,head,H,T5,Hi,495,Ewing,3,38.096467,-88.845217,12.5,58.7,75.12756627,0.487,1.901601105,3553,27
128,20,H20-T5-LO,T5_Lo_Ewing,head,H,T5,Lo,495,Ewing,3,38.096467,-88.845217,12.5,58.7,75.12756627,0.487,1.901601105,161063,138
129,21,H21-T3,T3_Ewing,head,H,T3,,492,Ewing,3,38.096467,-88.84515,13.9,52.4,71.43365358,0.804,3.207684961,3353,85
130,21,H21-T4,T4_Ewing,head,H,T4,,492,Ewing,3,38.096467,-88.84515,13.9,52.4,71.43365358,0.804,3.207684961,26880,90
131,21,H21-T5-HI,T5_Hi_Ewing,head,H,T5,Hi,492,Ewing,3,38.096467,-88.84515,13.9,52.4,71.43365358,0.804,3.207684961,62950,82
132,21,H21-T5-LO,T5_Lo_Ewing,head,H,T5,Lo,492,Ewing,3,38.096467,-88.84515,13.9,52.4,71.43365358,0.804,3.207684961,3864,29
133,22,H22-T3,T3_Ewing,head,H,T3,,495,Ewing,4,38.096467,-88.845083,13.8,54.4,77.33773969,0.376,2.783528803,112131,253
134,22,H22-T4,T4_Ewing,head,H,T4,,495,Ewing,4,38.096467,-88.845083,13.8,54.4,77.33773969,0.376,2.783528803,20376,116
135,22,H22-T5-HI,T5_Hi_Ewing,head,H,T5,Hi,495,Ewing,4,38.096467,-88.845083,13.8,54.4,77.33773969,0.376,2.783528803,52870,86
136,22,H22-T5-LO,T5_Lo_Ewing,head,H,T5,Lo,495,Ewing,4,38.096467,-88.845083,13.8,54.4,77.33773969,0.376,2.783528803,49960,101
137,23,H23-T3,T3_Ewing,head,H,T3,,505,Ewing,4,38.09645,-88.845017,13.7,52.7,71.59958541,0.146,0.137264947,13169,91
