"","Feature.ID","Confidence","domain","phylum","class","order","family","genus","species","SH"
"1782","ASV2825",0.994631174250296,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia","Dioszegia_heilongjiangensis","SH1051530.10FU"
"1783","ASV2826",0.962252003956334,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,NA
"1784","ASV2827",0.999727272056216,"Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces","Phaeococcomyces_sp",NA
"1785","ASV2828",0.760022562893814,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Lachnaceae","Lachnum",NA,NA
"1786","ASV2829",0.854207427147098,"Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Sporocadaceae","Sporocadus","Sporocadus_brevis","SH1754311.10FU"
"1787","ASV283",0.940384610433631,"Fungi","Basidiomycota","Exobasidiomycetes","Entylomatales","Entylomataceae","Tilletiopsis","Tilletiopsis_washingtonensis","SH1241579.10FU"
"1788","ASV2830",0.779642516431596,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,NA
"1789","ASV2831",0.901123169535253,"Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA,NA
"1790","ASV2832",0.951188065570864,"Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Venturiaceae_gen_Incertae_sedis","Venturiaceae_sp","SH1367198.10FU"
"1791","ASV2833",0.937439007234638,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Teunia","Teunia_sp","SH1331274.10FU"
"1792","ASV2834",0.855334498407265,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Dematiopleospora","Dematiopleospora_rosicola","SH1871616.10FU"
"1793","ASV2835",0.999976791413865,"Fungi","Ascomycota",NA,NA,NA,NA,NA,NA
"1794","ASV2836",0.999690978344548,"Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Sporocadaceae","Pestalotiopsis",NA,NA
"1795","ASV2837",0.989784328956658,"Fungi","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis","Ascomycota_gen_Incertae_sedis","Ascomycota_sp","SH1393460.10FU"
"1796","ASV2838",0.952202451525297,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Diatrypella","Diatrypella_favacea","SH1168617.10FU"
"1797","ASV2839",0.883103936266647,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella","Keissleriella_quadriseptata","SH1349364.10FU"
"1798","ASV284",0.996654778293135,"Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodosporidiobolus","Rhodosporidiobolus_odoratus","SH1231670.10FU"
"1799","ASV2840",0.988839312074519,"Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Dothideomycetes_fam_Incertae_sedis","Dothideomycetes_gen_Incertae_sedis","Dothideomycetes_sp","SH1330763.10FU"
"1800","ASV2841",0.95965599022511,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Apenidiella","Apenidiella_sp","SH1242098.10FU"
"1801","ASV2842",0.937791970407081,"Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,NA
"1802","ASV2843",0.897145399219773,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella","Keissleriella_quadriseptata","SH1349364.10FU"
"1803","ASV2844",0.954266615040597,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellales_fam_Incertae_sedis","Tremellales_gen_Incertae_sedis","Tremellales_sp","SH1083094.10FU"
"1804","ASV2845",0.836193322224622,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","Bipolaris_cynodontis","SH1663108.10FU"
"1805","ASV2846",0.986300153599436,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis","Arthrocatena","Arthrocatena_tenebrosa","SH1190041.10FU"
