Feature ID	Taxon	Confidence
ASV140	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.9716349905037402
ASV141	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;s__Rhodotorula_graminis;sh__SH1697987.10FU	0.96228825652616
ASV142	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Didymocyrtis;s__Didymocyrtis_pini;sh__SH1311120.10FU	0.8761072718176905
ASV143	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremaceae;g__Papiliotrema;s__Papiliotrema_perniciosa;sh__SH1402554.10FU	0.9358894057801634
ASV144	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces;s__Sporobolomyces_roseus;sh__SH1273273.10FU	0.9275500202366949
ASV145	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremaceae;g__Papiliotrema;s__Papiliotrema_pseudoalba;sh__SH1402484.10FU	0.9986708782639593
ASV146	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Saccotheciaceae;g__Aureobasidium	0.7130589198633273
ASV147	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidium	0.7325070281012468
ASV148	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae	0.9992698378546955
ASV149	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.997089552713175
ASV150	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Wickerhamomyces;s__Wickerhamomyces_anomalus;sh__SH1276708.10FU	0.9847484154973736
ASV151	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_herbarum;sh__SH1335104.10FU	0.8992419585565421
ASV152	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales;f__Apiosporaceae;g__Nigrospora	0.9999999783842055
